Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
12/1/2001 0:00,40,,33.3,,8,,40.2,,20.1,66.04
12/2/2001 0:00,54,,,,,,32.3,,27.4,
12/3/2001 0:00,19,58.4,34.6,21.8,9,,38.9,,21.9,59.32
12/4/2001 0:00,,48.2,,,,,60.2,,16.5,
12/5/2001 0:00,11,43.9,66.3,21.8,13,,106,,58.5,136.25
12/6/2001 0:00,21,60.8,,,,,86.7,,45.7,
12/7/2001 0:00,33,63.2,57.6,,,,78.9,,65.8,134.27
12/8/2001 0:00,,117.7,,,,,164.1,,54.9,
12/9/2001 0:00,,157.2,95.6,,,,213.4,,95.1,166.64
12/10/2001 0:00,31,45.3,,,,,154.9,,47.6,
12/11/2001 0:00,9,47.6,51,27.1,24,,72.6,,84.1,65.21
12/12/2001 0:00,30,32.3,,,,,40.1,,73.2,
12/13/2001 0:00,21,73.8,94.5,35.1,43,,63.2,,67.7,106.7
12/14/2001 0:00,29,57.9,,,,,105.6,,42.1,
12/15/2001 0:00,42,,27.2,,19,,75.3,,14.6,
12/16/2001 0:00,21,,,,,,30.5,,16.5,
12/17/2001 0:00,12,38.3,21.4,22.8,54,,54.5,,36.6,100.8
12/18/2001 0:00,6,23.1,,,,,50.6,,36.6,
